Issue ID,Project Key,Issue Type,Summary,Description,Priority,Status,Labels,Components,Parent ID,Epic ID,Epic Name,Story Points,Depends On,Acceptance Criteria,Source Reference,Assignee,Due Date,Fix Version
ST35,PROJECT_KEY,Sub-task,Obtain CA approval of VAT return layout,Register item 4 covers the box definitions; this covers the rendered artefact.,Highest,Blocked,"vat,blocked-ca",Accounting,S21,E10,,2,ST34,The CA confirms the rendered return matches the IRD form currently in force.,NEPAL-ACCOUNTING-BUILD-PLAN.md section 7 item 4,,2027-02-15,FY2084-golive
E11,PROJECT_KEY,Epic,Opening balances and cut-over,"Move the entity from manual and spreadsheet books into Odoo at the Shrawan 1 2084 fiscal-year boundary, with evidence an auditor can rely on.",Highest,To Do,"nepal,migration,cutover",Accounting,,,Opening balances and cut-over,,,"Opening balances are posted, reconciled and signed, and one full period has been run in parallel before cut-over.",docs/project-review/ACCOUNTING_NEPAL.md,,2027-07-05,FY2084-golive
S22,PROJECT_KEY,Story,Map spreadsheet trial balance to the signed chart,Produce a line-by-line mapping from the existing manual books to the CA-signed chart of accounts.,Highest,Blocked,"migration,chart,blocked-ca",Accounting,,E11,,5,ST20; signed chart of accounts,"Given the closing trial balance, when it is mapped, then every source balance lands on exactly one target account and the mapping totals agree to the source.",NEPAL-ACCOUNTING-BUILD-PLAN.md section 7 item 1,,2027-07-05,FY2084-golive
S23,PROJECT_KEY,Story,Post opening balance journal at Ashad end 2083/84,Build and post the opening entry as at 16 July 2027 with full sub-ledger detail.,Highest,Blocked,"migration,opening-balance",Accounting,,E11,,5,S22,"Given the mapped trial balance, when the opening journal is posted, then the resulting balance sheet equals the signed closing position and the entry balances.",docs/project-review/ACCOUNTING_NEPAL.md,,2027-07-05,FY2084-golive
ST36,PROJECT_KEY,Sub-task,Load debtor and creditor sub-ledger detail,"Opening receivables and payables must carry per-partner detail, not a single control total.",High,Blocked,"migration,partners",Accounting,S23,E11,,3,,"Given the opening entry, when the partner ledger is run, then per-partner balances sum to the control account and each open item carries its original date.",docs/project-review/ACCOUNTING_NEPAL.md,,2027-07-05,FY2084-golive
ST37,PROJECT_KEY,Sub-task,Load stock valuation and fixed asset register with opening WDV,Opening stock valuation and the asset register including written-down value per depreciation block.,High,Blocked,"migration,stock,assets",Accounting,S23,E11,,3,S11,"Given the opening entry, when the asset register is listed, then each asset carries its block, cost and opening WDV, and the total agrees to the control account.",NEPAL-ACCOUNTING-BUILD-PLAN.md Phase C1,,2027-07-05,FY2084-golive
S24,PROJECT_KEY,Story,Execute parallel run and produce reconciliation pack,Run at least one full VAT period in both systems and reconcile to the rupee before relying on Odoo alone.,Highest,Blocked,"migration,assurance,parallel-run",Accounting,,E11,,8,S23; S21; S20,"Given one full VAT period run in both systems, when the results are compared, then VAT return boxes, TDS deductions and the trial balance agree to the rupee, and differences are explained in writing.",docs/project-review/ACCOUNTING_NEPAL.md,,2027-07-05,FY2084-golive
ST38,PROJECT_KEY,Sub-task,Run one full VAT period in parallel,Post the same period in both the manual books and Odoo.,Highest,Blocked,"parallel-run,vat",Accounting,S24,E11,,5,,"Given identical source documents, when both systems are closed for the period, then the VAT return figures match to the rupee.",docs/project-review/ACCOUNTING_NEPAL.md,,2027-07-05,FY2084-golive
ST39,PROJECT_KEY,Sub-task,Produce auditor reconciliation pack,"Retain the comparison, explanations and sign-off as audit evidence.",High,Blocked,"assurance,audit",Accounting,S24,E11,,3,ST38,"The pack identifies the period, both sources, every difference with its explanation, and carries CA sign-off.",docs/project-review/ACCOUNTING_NEPAL.md,,2027-07-05,FY2084-golive
ST40,PROJECT_KEY,Sub-task,Confirm Nepali-language statutory output requirement,Register item 8 - whether Nepali-language statutory output is mandatory or optional. Had no Jira coverage.,High,Blocked,"blocked-ca,language,statutory",Accounting,SP1,E5,,2,,"The CA states in writing whether Nepali-language output is mandatory, for which documents, and whether bilingual presentation satisfies it.",NEPAL-ACCOUNTING-BUILD-PLAN.md section 7 item 8,,2027-02-15,FY2084-golive
ST41,PROJECT_KEY,Sub-task,Confirm retention and audit-trail requirements,Register item 9 - statutory record retention and audit-trail obligations. Had no Jira coverage.,High,Blocked,"blocked-ca,retention,audit",Accounting,SP1,E5,,2,,"The CA states the retention period, the records in scope, and the audit-trail evidence a reviewer may require.",NEPAL-ACCOUNTING-BUILD-PLAN.md section 7 item 9,,2027-02-15,FY2084-golive
S25,PROJECT_KEY,Story,Derive VAT return periods from Bikram Sambat months,"VAT return date_from and date_to are plain date fields with no default and no BS-month generator, yet Nepali VAT is filed per BS month.",Highest,To Do,"vat,bikram-sambat,ird",Accounting,,E5,,3,,"Given a BS month and year, when a VAT return is created, then date_from and date_to are the correct Gregorian boundaries of that BS month, proven by test across a full year.",custom_addons/l10n_np_vat_return/models/vat_return.py,,2027-02-15,FY2084-golive
S26,PROJECT_KEY,Story,Implement TDS threshold enforcement and category linkage,"threshold is declared and documented but no code reads it, and certificate line category_id is never populated, so a certificate cannot state which rate applied.",Highest,To Do,"tds,correctness",Accounting,,E5,,5,,"Given cumulative payments below the threshold, when withholding is computed, then no TDS is deducted; and given a collected certificate line, when it is inspected, then category_id names the applicable category and legal reference.",custom_addons/l10n_np_tds/models/tds_category.py,,2027-02-15,FY2084-golive
S27,PROJECT_KEY,Story,Implement TDS return aggregation and filing,"l10n_np.tds.return is a data shell with no methods, no file action and no tests. Certificates must be attached by hand.",High,To Do,"tds,return,correctness",Accounting,,E5,,5,S26,"Given a period, when the return is generated, then it collects the period certificates automatically, totals tie to the withholding lines, and it cannot be filed before it is computed.",custom_addons/l10n_np_tds/models/tds_certificate.py,,2027-02-15,FY2084-golive
T9,PROJECT_KEY,Task,Effective-date the VAT standard rate,TDS rates and VAT form versions are properly date-bounded; the 13 percent rate itself is a bare CSV value with no historical-correctness mechanism.,High,To Do,"vat,configuration,finance-act",Accounting,,E5,,3,,"Given a rate change with an effective date, when a historical period is recomputed, then it uses the rate in force on the transaction date.",custom_addons/l10n_np/data/template/account.tax-np.csv,,2027-02-15,FY2084-golive
B2,PROJECT_KEY,Bug,Export fiscal position auto-applies to foreign vendors,"The Export position has auto_apply with no country and no country group, so it zero-rates import purchases. Nepali reverse-charge on imported services would make that wrong.",Highest,To Do,"vat,fiscal-position,correctness",Accounting,,E5,,3,,"Given a foreign vendor bill, when the fiscal position is resolved, then the export zero-rating does not apply to purchases, proven by a regression test.",docs/project-review/ACCOUNTING_NEPAL.md ACC-4,,2027-02-15,FY2084-golive
B3,PROJECT_KEY,Bug,TDS certificate sequence uses the Gregorian year,"The sequence prefix interpolates range_year, so certificates read TDS/2026 where the fiscal year is 2083/84, and the series rolls over mid Nepali fiscal year.",High,To Do,"tds,sequence,bikram-sambat",Accounting,,E5,,2,,"Given a certificate issued in Bhadra 2083, when its number is inspected, then it cites the Nepali fiscal year and the series does not roll over before Ashad end.",docs/project-review/ACCOUNTING_NEPAL.md ACC-6,,2027-02-15,FY2084-golive
S28,PROJECT_KEY,Story,Model book versus tax depreciation and deferred tax,"NFRS book depreciation and Income Tax Act Schedule 2 pooled depreciation diverge, creating deferred tax that nothing currently computes.",High,Blocked,"accounting,depreciation,deferred-tax,blocked-ca",Accounting,,E4,,8,S11,"Given a fiscal year with both book and tax depreciation, when the deferred tax computation runs, then the movement reconciles to the temporary difference and ties to the CA manual computation.",NEPAL-ACCOUNTING-BUILD-PLAN.md Phase C1,,2027-04-26,FY2084-golive
S29,PROJECT_KEY,Story,Complete the statutory statement set,"No Statement of Changes in Equity, no notes or schedules, and no comparative prior-year column.",High,Blocked,"accounting,reporting,statutory,blocked-ca",Accounting,,E4,,8,S7; CA format decision,"Given a closed fiscal year, when the statutory pack is produced, then it includes a Statement of Changes in Equity, supporting notes and prior-year comparatives, and every figure traces to journal items.",NEPAL-ACCOUNTING-BUILD-PLAN.md Phase D,,2027-04-26,FY2084-golive
B4,PROJECT_KEY,Bug,Balance Sheet header prints the fiscal year in Gregorian,"The financial statements template uses t-esc on raw dates for the fiscal-year line, bypassing the BS converter, so one header line shows Gregorian beside BS.",Medium,To Do,"bikram-sambat,reporting,qweb",Nepal Localization,,E3,,2,,"Given a company set to BS output, when the Balance Sheet renders, then the fiscal-year header line shows BS dates like every other date on the report.",custom_addons/account_financial_statements/report/financial_statements_templates.xml,,2027-04-26,FY2084-golive
T10,PROJECT_KEY,Task,Ship fiscal-year records as data and make the fallback loud,"l10n_np_fiscal_year ships no data file. Absent a record, compute_fiscalyear_dates silently falls back to a fixed day and month pair and can return a range wrong by one day.",Highest,To Do,"fiscal-year,correctness,bikram-sambat",Nepal Localization,,E4,,5,,"Given a Nepal company and no generated fiscal year, when a statutory report is run, then the system warns or refuses rather than returning a silently wrong range; and shipped data covers BS 2075 to 2095.",custom_addons/l10n_np_fiscal_year,,2027-04-26,FY2084-golive
T11,PROJECT_KEY,Task,Set company country to Nepal and currency to NPR,"The company record is the untouched Odoo default - My Company, country US, currency USD. Correcting country and currency is safe now and is independent of the chart decision.",Highest,To Do,"configuration,nepal",Accounting,,E4,,2,,"Given zero journal entries, when the company is reconfigured, then country is Nepal and currency is NPR, and no chart template has been adopted.",docs/project-review/ACCOUNTING_NEPAL.md FIN-1,,2027-04-26,FY2084-golive
T13,PROJECT_KEY,Task,Adopt the signed Nepal chart of accounts,"Chart templates apply at adoption, not on upgrade, so the chart must not be adopted until the CA has signed it. Adopting the current 43-account skeleton first would force a migration to reach the signed chart - exactly what the zero-journal-entry window exists to avoid.",Highest,Blocked,"chart,nepal,blocked-ca",Accounting,,E4,,3,T11; ST20,"Given the CA-signed chart and zero journal entries, when the chart is adopted, then the signed accounts are active and tax tags are present on the tax repartition lines.",docs/project-review/ACCOUNTING_NEPAL.md FIN-1; NEPAL-ACCOUNTING-BUILD-PLAN.md section 7 item 1,,2027-04-26,FY2084-golive
T12,PROJECT_KEY,Task,Define retention and audit-trail policy,"Register item 9 has no owner. The hash-chain audit trail exists but no policy governs retention, disposal or the evidence a reviewer may require.",High,Blocked,"data,retention,audit,blocked-ca",Platform,,E7,,3,ST41,"The policy names the retention period, the records in scope, the disposal method and the owner, and is consistent with the CA determination in ST41.",NEPAL-ACCOUNTING-BUILD-PLAN.md section 7 item 9,,2027-05-31,FY2084-golive
